id,comments,label,sentiment
823,Yanlış beden geldi etiketi bile yoktu üstünde çok kalitesiz,,Negative
824,Tam istediğim şekilde geldi gayette güzeldi beğendim.,,Positive
825,Biraz iç gösteriyor ama rahat oldu güzel,,Positive
826,beklediğim gibi çok iyi değil ama fiyatına göre güzel,,Positive
827,kalitesi iyi beğendim,,Positive
828,beğenerek sipariş vermiştim sorunsuz geldi ama biraz ince iç gösterir gibi,,Neutral
829,Güzel normal bir tişört,,Positive
830,cok kaliteli gorundugu gibi,,Positive
831,Kumaşı biraz ince bi beden küçük alınabilir,,Neutral
832,Gayet güzel,,Positive
833,Çok güzel tam istediğim gibi sadece içinizi gösterebiliyor,,Positive
834,Severek giyiyorum,,Positive
835,Harika bir kumaşı var bu kadar beklemiyordum ben. Aşırı deerece de rahat ve spor giyim için çok güzel bir t-shirt,,Positive
836,güzel ama iç gösteriyor,,Positive
837,Gayet güzel tam bir fiyat performans urunu mükemmel alinnn aldirinn,,Positive
838,Güzel ürün arkadaşlar,,Positive
839,ürün hasarsız geldi,,Neutral
840,beklediğim gibi geldi teşekkürler gayet güzel,,Positive
841,Hakikaten süper bir ürün Herkese tavsiye ederim,,Positive
842,Kalıp büyük ama kaliteli salaş bir tişört,,Positive
843,Fiyat performans açısından iyi,,Positive
844,ilk yıkamada yazısı attı giymedim bile:(,,Neutral
845,cok sevdik  kizim icin aldim sevdi,,Neutral
846,güzel beğendim,,Positive
847,çok ince iç gösteril incellikte,,Neutral
848,beğendim rengi ve kalitesi iyi,,Positive
849,göründüğü gibi ama çok ince,,Neutral
850,materialı yaxsidir sərindir ama iç gosterir,,Neutral
851,"On numara beş yıldız, ses görüntü güzel,  mutfağa duvara monte ettim güzel oldu, çok beğendim.",,Positive
852,Televizyona bayıldım  satici cok hizli ve mükemmel bir paketleme ile gonderdi cok teşekkürler,,Positive
853,çok beğendik özenli paketleme,,Neutral
854,"kargo harika paketlenmişti,ürün de güzel gözüküyor, satıcıya ve üreticiye teşekkür ederim",,Positive
855,ürünüm sorunsuz şekilde bana geldi satıcıya teşekkür ediyorum sipariş verdiğim ertesi günü geldi,,Neutral
856,Ben dükkanım için aldım şuanlık sorun yok memnunum,,Positive
857,Sağlam teslimat kaliteli ürün,,Positive
858,Ürünü Kasım kampanyasından aldım şuan Aralık ayındayız muhteşem indirim diye aldığım televizyonu şuan almak istediğimde daha uygun fiyat çıkıyor ve bir kampanyası da yok kandırıldığımı düşünüyorum henüz kurdurmadım kurulduktan sonra tekrar yorumu güncellerim kurulum ücretli 400 tl kurulum için ödeme yapmanız gerekiyor bilginiz olun,,Neutral
859,beklediğimden daha güzel  ve sorunsuz bir şekilde geldi görüntü güzel teşekkür ler,,Positive
860,Gayet güzel kullanışlı. Mutfak için aldım.,,Positive
861,Karşılamaya dikkat edilmiş elime sapasağlam ulaştı ve sorunsuz çalışıyor tam bir fiyat performans ürünü,,Positive
862,oğlum için alıyorum çok faydalı,,Neutral
863,sağlam geldi güzel,,Positive
864,Henüz açmadım ama paketli hiçbir hasar görünmüyor kutuda,,Neutral
865,Perşembe günü akşam üzeri sipariş verdim cumartesi ulaştı. Hızlı ve sağlam teslimat için teşekkür ederim. Çok kaliteli televizyon. Kesinlikle tavsiye edilir. Fiyatına göre çok çok iyi.,,Positive
866,Harika bir ürün satıcıya da teşekkür ederim sorunsuzca teslim aldım fiyat performans kalitesi süper bilindik markalara o kadar para dökmeye gerek yok,,Positive
867,Mük har. efs.,,Neutral
868,gönül rahatlığıyla alışveriş yapabilirsiniz paket leme özenli ürün süper boşuna tereddüt etmişiz satıcı ya çok teşekkür ederiz,,Positive
869,kaliteli görüntü süper,,Positive
870,Güzel şimdilik,,Positive
871,Ürün gayet güzel satıcıya ve kargoya teşekkürler  ürün sağlam geldi.,,Positive
872,Teşekkürler Trendyol.,,Positive
873,Cok guzeeeel,,Neutral
874,Ürünüm koşa sürede hasarsız ulaştı kırık yoktu sadece servise 350 tl verdım verdim,,Negative
875,Paketleme  çok iyi cizik yok Kargo'da hızlı 3 günde elime ulaştı Henüz kurulum yapmadım yapınca yorumumu güncelleyeceğim Satıcıya teşekkürler Güncelliyorum.....Ürünü kurulum yaptırdım kullanıyorum Tek kelime ile harika,,Positive
876,5 günde geldi kargo çok fazla bir beklentiniz olmasın tvden iş görüyor diyebilirim,,Neutral
877,Hasarsız geldi kargo hızlıydı,,Positive
878,Paketleme iyi kargo hızlıydı sağlam geldi.,,Positive
879,çok güzel mutfak için aldim sayiciya teşekkür ederim,,Positive
880,"Her eve lazım bence, kalitesi güzel",,Positive
881,gayet sorunsuz geldi ve kargo suresi de cok uzjn surmedi dukkan icin almistik fiyat performans urunu,,Positive
882,ürün gayet güzel geldi . görüntüde harika.,,Positive
883,Annem için aldık. Fiyat perfomans urun,,Neutral
884,Fiyat performans ürünü ilk açılış biraz uzun sürüyor. Ama fiyatına göre güzel ürün. Bakalım Kullandıkça güncellrcez yorumu.,,Positive
885,çok memnunum almak isteyen tereddütsüz alabilir..,,Positive
886,sorunsuz geldi güzel daha kurmadım bir sorun olmaz inşallah,,Positive
887,Ürün güzel  f/p ürünü satıcı ilgili sağlam geldi kargo hızlı daha ne olacak.,,Positive
888,annem için aldım çok begendi,,Neutral
889,Beğendim  çok iyi tam bir fiyat performans ürünü sorunsuz bir şekilde ulaştı elime riske atmamak için kurulumunu servisine yaptırdım 400 TL ücreti var alacak olanlara duyrulur,,Positive
890,Ürün sağlam bir şekilde teslim edildi. Sorumsuz çalışıyor.,,Positive
891,çok güzel paketlemeside güzeldi,,Positive
892,fiyatı a göre güzel görüntüsü net hoşuma gitti tavsiye ederim,,Positive
893,Onvo gerçekten mükemmel bir iş çıkarmış. Kanal geçişleri cok hızlı mükemmel. Zaten en çok satılan bu boyutta onvo en başı çekiyor. Bilindik markalara cok para vermeyede gerek yok. Kesinlikle hiç düşünmeden alın. Renk kalitesi de çok çok iyi. Depoevim ekspres çalışanlarınada ayrı teşekkür ederim.aynı gün kargo yaptılar. Cok güzel kargolamışlar sağol,,Positive
894,çok beğendim. görüntüsü ve kullanımı oldukça başarılı.,,Positive
895,İş görür ben mutfak için aldım,,Neutral
896,fiyat performans olarak alınacak en iyilerinden bir tanesi,,Positive
897,sorunsuz geldi.Servis kurulum için ücret istiyor,,Neutral
898,KORUNAKLI BİR ŞEKİLDE GELDİ KURULUMUNU KENDİMİZ YAPTIK MEMNUN KALDIK,,Positive
899,Çok güzel ürün çok memnun kaldım teşekkür ler,,Positive
900,harika bir ürün,,Positive
901,sorunsuz teslim aldimmm,,Neutral
902,Güzel ürün alınır,,Positive
903,Ürün alınır Servis tam bir fiyasko malesef kuruluma para istiyorlar.,,Neutral
904,çok harika,,Positive
905,Çok beğendim konteyner için kullanıyoruz ideal  ses görüntüsü. Youtube özelliği  güvenli kargo firması. Teşekkür ederim...,,Positive
906,gerçekten harika,,Positive
907,ürün güzel gerçekten beğendim  arka sokaklar ,,Positive
908,ürün çok güzel tavsiye ederim teşekkür ederim,,Positive
909,sağlam şekilde ulaştı görüntü ses güzel,,Positive
910,gayet güzel ve kullanışlı,,Positive
911,sorunsuz geldi teşekkürler,,Positive
912,gayet güzel bir ürün bu 2.televizyonum,,Positive
913,Çok beğendik tv baya büyükmüş sorun yaşamadık marka hemen gelip kurdu teşekkürler,,Positive
914,tam bir fiyat performans ürünü beklediğimden çok daha iyi,,Positive
915,Görüntü olarak mükemmel çok memnunum,,Positive
916,harika ürün iş yerime aldım,,Positive
917,güvenerek alabilirsiniz,,Neutral
918,"Televizyon çok güzel, satıcı kargolaması ve taşıma gayet iyi, hasar almadan çok iyi geldi",,Positive
919,Yani şuanda güzel kaliteli görünüyor normalde daha büyük resimde küçük görünüyor,,Positive
920,Zaten beğendiğim kullandığımız bir üründü. Gerçekten tavsiye ederim,,Positive
921,Güzel kaliteli begendık,,Positive
922,görüntü kalitesi güzel uygun fiyat teşekkürler,,Positive
923,F/p ürünü indirimdeyken aldım memnunuz,,Positive
924,anneme almıştık gayet güzel ve sorunsuz geldi hele kumandası muhteşem ses görüntü kalitesi harika,,Positive
925,Çok kullanışlı güzel bir televizyon kumandası pratik sistemi hızlı sadece kanal geçişleri biraz zaman alıyor ama diğer özellikleri mükemmel diyebilirim,,Positive
926,gayet kullanışlı güzel bi ürün kesinlikle tavsiye ederim özellikleri ve kumandası mükemmel,,Positive
927,Çok güzel ve gayet sağlam teslim edildi ekranı büyüklüğü ses kalitesi şimdilik çok güzel,,Positive
928,tereddüt ederek aldım ama sağlam geldi ve tv harika tavsiye ederim,,Positive
929,çok beğendim görüntü on numara. sinemaya gitmis gibi ekran büyük ve görüntü muazzam,,Positive
930,mükemmel ötesi,,Neutral
931,Güzel Teşekkürler,,Positive
932,"Yüksek kalite, titiz kargolama. Tavsiye ederim.",,Positive
933,daha kutuyu açıp bakamadım ama güzel görünüyor,,Positive
934,Büyük Tavsiye Ediyorum gayet hızlı ve kullanışlı her anlamda parasına değer,,Positive
935,bekledğimden çok çok iyi fiyat performans net,,Positive
936,Tek Kelime Harika ötesi bir ürün kumandası süper fiyat çok çok uygun beklentimden daha fazlası var Onvo ailesine çok teşekkür ediyorum,,Positive
937,Tv kullanıyoruz çok memnunuz,,Positive
938,Güzel beyendim,,Positive
939,şuan gelen kargom. yağmurdan bu halde olmuş kargocu böyle birakmis.umarım garanti de sıkıntı olmaz diye umuyorum.ki bu şekilde servisin gelmesini beklicez bir kaç gün.urunu actiktan sonra tekrar guncellerim,,Neutral
940,süper,,Positive
941,tek kelimeyle harika alın aldırın çok beğendik beklemeye değdi kanal geçişleri hızı ekranı sesi tam anlamıyla mükemmel,,Positive
942,Güzel urun,,Positive
943,güzel ürün kusursuz,,Positive
944,yüksek fiyatlara başka TV lere parama vermenize hiç gerek yok gayet güzel ve kullanışlı kanal geçişleri hızlı  telefondan yansıtması sesli komut özelliği çok iyi teşekkür ederim,,Positive
945,Ürün sorunsuz bir şekilde kısa sürede geldi tavsiye ederim,,Positive
946,hızlı teslimat için teşekkürler,,Positive
947,Ürün 30 Aralık Cumartesi günü sağlam ve sorunsuz geldi. Satıcı mağaza Teleskop'a ve Horoz lojistike teşekkür ederim. Ürünü 2 gündür kullanıyorum ve ürünü yeni yeni inceliyorum şimdilik bir sıkıntı yok. Görüntü ve ses kalitesi normal standart kullanıcılar için gayet tatmin edici. 10 yıllık LG 42lb652 webos kullanıcısı olarak yeni webos televizyonuma,,Positive
948,"1.gün ekran sorunu yaşadık,ilgili servise bildirdik,değişim için rapor çıkacakmış!ürün ve ücret iadesi talep ediyoruz",,Neutral
949,👍🏻 gayet memnunuz,,Positive
950,ürün geldi kurulduğu günün ertesi gün ekran resimdeki hali aldı servis ağı çok kötü ürünü aldılar henüz bilgi veren olmadı gerçekten pişmanlık,,Negative
951,Keşke daha erken alsaydım çok iyi,,Positive
952,ekranı çok büyük olduğundan dolayı iade ettim tekrar geri geldi bana,,Negative
953,görünüşte çok güzel hızlı çalışıyor hızlı teslimat için teşekkürler,,Positive
954,Ürünün faturası gelmedi . Talepte bulundum hala bekliyorum 10 gündür…,,Neutral
955,Çok memnun kaldık,,Positive
956,Çok iyi tavsiye ederim verdiniz paraya pişman olmazsınız ses kalitesi ve görüntü kalitesi iyi,,Positive
957,kumanda vs...internet bağlanma hızı güzel....ek garanti alarak rahatlıkla kullanabilirsiniz,,Positive
958,harika bir ürün tavsiye ederim,,Positive
959,ürün güzel ama çok geç geldi,,Positive
960,Çok güzel bir ürün. Tam fiyat performans ürünü.  Aynı özellikteki marka ürünler fiyatı çok daha fazla .,,Positive
961,"Tam bir fiyat performans ürünü, görüntü kalitesi sesi oldukça muazzam. Duvara takmayı düşünüyorsanız  aparatı kendinizin temin etmesini öneririm (bayilik fiyatı şok edebilir) DENİZLİ bayiliğinin GÜLER YÜZLÜLÜĞÜNÜ göz önünde bulundurursak (İRONİ) harika bir ürün harika tasarım ⭐️⭐️⭐️⭐️⭐️",,Positive
962,gerçekten fiyat performans ürünü görüntü kalitesi ve hızı çok güzel tavsiye ederim,,Positive
963,her insanın hatası olur servis bayramdan önce gelmeye çalıştı ama gelemedi bayramdan sonra hemen geldirler,,Neutral
964,bu paraya süper bekle digim den iyi,,Positive
965,Şiddetle tavsiye ederim diğer markalara o kadar para vermeye değmez bu fiyata alınabilecek en iyi tv,,Positive
966,parasına göre çok iyi televizyon görüntüsü sesi kalite iyi,,Positive
967,Fiyatına göre çok iyi,,Positive
968,Hızlı geldi tv gayet güzel,,Positive
969,hızlı kargo ve servisi harika maltepe cengiz bey alakası için teşekkür ederim ürün kaliteli şuana kadar bir sorun görmedim kumandası sesli komut vs ,,Positive
970,On numara televizyon fiyat perfomans değil üst düzey bi cihaz çok memnun kaldım aynı gün montajı yapıldı.,,Positive
971,ürün çok iyiyidi baya memnunum,,Positive
972,Fiyatına göre başarılı,,Positive
973,ürünü mutfağımız için almıştık çok beğendik,,Neutral
974,Görüntü kalitesi ve ürün kullanimi gayet güzel. Ancak wifi sifresini girmeme ragmen internete baglanmiyor. İade etme şansim da yok kutusunu çope attim. Buna dikkat etmek lazim. Wifi ceksin diye yanina superbox da koydum yine giremiyor.,,Positive
975,fena degil is gorur...,,Neutral
976,Çok küçük geldi bilmiyorum monitör gibi ama sağlam kargosu eline ulaştı,,Positive
977,İnternete bağlanması uzun sürüyor,,Neutral
978,arada takılıyor,,Neutral
979,ürün küçük boydu sevmedim,,Neutral
980,Ürün fiyat performans olarak gayet iyi ama ses kalitesi iyi değil,,Positive
981,"ürün üzerinde 220 bağlantı yok,görüntü güzel,sadece 12 volt bağlantıvar,internete bağlanmıyor",,Positive
982,mutfak için aldım memnunuz boyutundan görüntü kalitesinden fakat arada bı kendi kendine kapanıyor TV bu canımızı sıkmıyor değil,,Positive
983,"ürün idare eder çok tavsiye edebileceğim bir televizyon değil kanal arama kanal listesi düzenleme kanal silme insanı kanser ediyor bu işlemler ancak bu kadar zor ve zaman alıcı olabilirdi, pek sevmedim açıkçası.",,Neutral
984,biraz yavaş çalışıyor ard arda   farklı işlemlerde donma yapıyor,,Neutral
985,Ürün çok güzel de ayakları çıkmadı Yalnız napabiliriz Nası ulaştırırsınız bana ??,,Positive
986,Üründen çok hoşnut olmadık. İstediğimiz gibi çıkmadı bide gerçekten ekran olarak küçük ona göre karar verin,,Positive
987,kanal geçişleri biraz yavaş. onun dışında kullanıyoruz. mutfak için ideal.,,Neutral
988,uydu anten kablosu direk baglanmadi. ilave bir parca satin almam gerekti. baglamayi dusundugunuz yayin ne ise satin almadan once saticiya sorup teyit almakta fayda var. ben sormadan satin almistim. sorun ile ilgili yetkili servis ilk once yanlis yonlendirme yapti. biraz ugrastim yani sorunsuz kullanabilmek icin. alacaklara tavsiyem yayin baglantisi,,Positive
989,Ürün kanalları izlerken fena degil ama YouTube  izlerken atıyor ana ekrana dönüyor  birde netflix izleyemiyorum onaylamiyor secenekleri giris yapamiyorum iade süreci baslatacagim,,Negative
990,Ürünüm çok fazla takılıyor yardımcı olmanızı diliyorum satıcıya yazdım geri dönüş sağlamadı,,Positive
991,kanal geçişleri çok yavaş. ayrica sürekli hata veriyo. fişini çıkarip yeniden takmak gerekiyo. kücuk ekranli televizyonu smart almak mantikli degilmiş,,Neutral
992,aldm alacağıma pişman oldum,,Neutral
993,Çok iyi deil görüntüsü sesi çok iyi deil ama iade falan uğraşmadım teşşekkürler yinede,,Positive
994,"Yorumu güncelliyorum alalı 1,5 ay oldu sadece toz alırken ekranı kırıldı müşteri hizmetlerini aradım ekran değişimi 3300 dediler yani tv fiyatından daha pahalı şaka gibi kimse ilgilenmiyor tv çöp oldu",,Negative
995,Faturayı kurumsal ve adresiyle  istediğim halde yapmamışlar. Sorulara cevap veren ilgili bir satıcı değil asla tavsiye etmem. Başaran galiba satıcı. Televizyon kenarda duruyor fatura istediğim gibi atılmazsa servis falan bit şekilde iadeye yollicam.,,Neutral
996,kesinlikle almayın ekran komple çatlak gibi arkası hasarlı geldi,,Negative
997,"Ürünü aldım korgo teslim etti hemen servisi aradım, ürünü açıp kursun diye, tlf. açan bayan 200 TL servis ücreti alırız diyince paketi aldığım gibi kargoya teslim ettim. İnsanlara dürüst davranın herşeyi açık açık yazın.",,Positive
998,sakın almayın,,Negative
999,Hiç memnun değilim kumanda vasatında ötesinde eski çağdan kalma kumanda ile netflix e girmeye çalışıyorsunuz  ve internet iyi algılamıyor  bazı zamanlar uygulamalardan atıyor tavsiye etmiyorum,,Positive
1000,hic memnun degilim,,Positive
1001,Ses kalitesi beklemeyin görüntü bilgisayar ekranı gibi çok büyük birsey beklemeyin,,Neutral
1002,kesinlikle tavsiye etmem garanti gelip açmaya para istiyor,,Neutral
1003,Ürün ekran kırık çıktı.şimdi birde iade süreciyle uğraşacağız..hevesimin kırıklığını anlatamam,,Negative
1004,wifi bağlanınca ekran gidiyor. üstelik uydu kurulumu nasıl ayarlanmışsa bir sürü kanalı çekmiyor.,,Neutral
1005,"Ürün gerçekten beğenmedim. 1. sesi çok iyi çıkmıyor. 2. kanal geçişleri çok yavaş. 3. görüntü çamur gibi. 4. TV yi kapatıyorsun, açılırken Android ortamda açıyor ve kumanda kilitleniyor. fişi takıp çıkarman gerekiyor.   . pişmanım",,Neutral
1006,Google da bisey açamıyorsun YouTube kendinden kapanıyor bı şeyler oluyor Kalite olarak hiç güzel değil,,Positive
1007,bu ürun 5 para etmez almayin,,Neutral
1008,"4 adet ölü pikselli ürün geldi. Sıfır ürün için servise yönlendirildim. Servis fotoğraflarını çekti, araya bayram girdi. Sunny Genel Müdürlük video istiyor deyip 2.ye gelmem gerektiğini söylüyorlar. Sunny pişmanlıktır. Ölü pikselle kullanacağım, uğraşmaktan bezdirdiler.",,Neutral
1009,bes para etmez önermiyorum android olmasi ayri sikinti almayin aldim pisman oldum,,Neutral
1010,kurulumunu zorlanarak yaptim. ses kalitesini hic ama hic begenmedim cok kotu. diger ozelliklerini deneyimledikce yorumu guncellerim. guncelleme: rezil bir televizyon. hic memnun kalmadim. serviside cok kotu firmanin. surekli takilip duruyor. ya ses cikmiyor ya goruntu gelmiyor. youtube aciyorum kendiliginden hdmi2 tv ye geciyor. cok pisman oldum. k,,Positive
1011,ürünü servis acti 3 yerinden ekran da kırıklar var iadesini talep ettim,,Negative
1012,Ayak çıkmadı. Bu satıcıdan almayın.,,Negative
1013,Ürünün HDMI Görüntü aktarımı çok kötü. Özellikle Excell dosyalarında problemli. Bunu dikkate alarak almanızı öneririm.,,Negative
1014,ayakları yoktu eksik parçayla ne yapacağım bide hediye aldım,,Negative
1015,Eksik ürün gönderdiler kargolandı diyorlar bilgi alamıyoruz o yüzden ilgisiz satıcı,,Negative
1016,donuyor kanal geçişleri Cok kötü,,Negative
1017,almayın televizyon gelir eksik ürün gönderirler ayakları istersiniz geç dönüş yaparlar ayakları kargoya verirler Bir hafta gelmez geldiğinde ise yanlış kişilere teslim edmisler bu kadar sorun yaşayacağımı bilseydim hiç almazdım,,Negative
1018,Hata veriyor böyle Wi-Fi bağlanınca hiç bişi açmıyor internet en sebebi nedir,,Neutral
1019,17 Ocak'ta geldi ilk 2 hafta bir sorun görmedim 2 haftadan sonra televizyon kendi kendini kapanıyordu mesela YouTube'a girdiğimde bir film açıyorsun ya da bir program izliyorsun 5-6 saniye sonra YouTube'dan çıkıyor Ana sayfaya giriyor ya da komple televizyon kendin kendine kapanıyor ayrılamaya girdim hani dedim belki televizyon saati kapanma yaptıl,,Neutral
1020,Ürün kırık geldi problemler vardı o ara iade yapamadım,,Negative
1021,"Sakın yorumlara bakıp satın almaya kalkmayın! Android tv herşey var diye yazıyor, içinde en eski telefonların sürümü bol sorunlu bol kitlenmeli 4.sürüm olan kitkat var. aratma yapmak eziyet! kumandadan yazı girişi yok, fare sürüklüyorsun. güncel uygulamalar çalışmıyor. aldığıma pişmanım. hazır tv listeleri uyumsuz. kanal ayarlamak aşırı zor. izleme",,Negative
1022,Gönderilen ürün sıkıntılı görüntü bir geliyor üç saniye sonra ekran kararıyor kumanda kitleniyor hiç bir işlem yapmıyor sıkıntılı ürünü bana göndermişler,,Neutral
1023,sürekli donuyor tv aldığımız sevinemedik açıkçası pişman olduk....,,Neutral
1024,"arızalı ürün olunca firma türlü bahanelerle kullanıcı üzerine yüklüyor, garantili olması birşey ifade etmiyor,tek kuruşu bile haketmiyor ne ürün ne de firma ve servis çalışanları",,Negative
1025,kurulum için servis gelmiyor TV arızalı çıktı,,Negative
1026,kendi kendine kapanıyor tuşa basmadan bir yerlere giriyor saçma sapan bı tv,,Neutral
1027,3 hafta olmadi kullanali youtube netflix icin almistim surekli hata veriyo acilmiyo bozuldu ve ayaklarini da gondermemislerdi,,Negative
1028,Bazen kapanıp açılmıyor.Gün içinde birkaç kez Ses var görüntü gidiyor. Göründüğü gibi ses var görüntü yok,,Neutral
1029,2 aydır kullanıyorum donmaktan ve açıp kapamaktan başka birşeye yaramıyor smart kısmı tamamen yalan bütün uygulamaları donarak açıyor,,Neutral
1030,"beş para etmez tavsiye etmem ayrıca arkadaşlar bu firmadan da kesinlikle alış veriş yapmayın  iade talebinde bulundum,bir sürü bahane üretiyorlar Sakın almayın sakın, ben mağdur oldum siz olmayın",,Negative
1031,Ürünü iade ettim hiç biriekilde geri kabul etmiyorum içindeki herşey eksiksiz size yollandı avukata vereceğim gelen ürünü almayacağım bilginiz olsun içinde pillerine kadar size iade yapdım bozuk tv yi yolladınız tüketici haklarını arayacam ve cimere bildirecem,,Negative
1032,Almayın yapılacak en büyük hata olur,,Negative
1033,"Satıcı iletişimi sıfır günlerdir mesaj atıyorum tenezzül edip dönmüyorlar, trendyol arkamızda durmuyor , teslimat ve fatura adresini farklı seçtiğim halde teslimat adresine fatura kesmişler ve düzeltmiyoruz suan böyle saçma bir sistem olamaz",,Neutral
1034,TV kötü servisi ondan da kötü. Tv yi internet uzerinden kullanıyorduk dönüyordu sürekli açıp kapatıyoruk ayarlar kismi da bozuldu internet bağlantısı saglayamiyor bununla ilgili servis talep ettim 200 lira istediler kabul ettim ama dört gündür gelen giden yok. yerli diye güvendik ama bilindik markalardan şaşmamak gerekmiş öğrendik...,,Negative
1035,Ürün fevkalede yavaş ve kendi kendine kapanıp açılıyor . Daha bir ay oldu alalı ürünü garantiye göndereceğiz . Keşke iade edilebilseydi!,,Negative
1036,Mazeretimi bildirmeme rağmen ürün açtığım için iade kabul edilmedi hiçte hoş karşılamadım,,Neutral
1037,Hiç bir şeyi çalışmıyor direk iade edeceğim.,,Negative
1038,ürün  adaptörü  çabuk kızıyor  kullanışlı deyil tafsiye etmem iade ettim kabul etmediler elinizde patlar haberiniz olsun ben kadim siz kanmayin fişli deyilmis yanma itimali yuksek  bi ürün,,Neutral
1039,televizyonu hiç beğenmedim. ses kalitesi görüntüsü kalitesi kanal geçişi internete girişi vs çok yavaş ve kötü bime A101e gelen televizyonlar bunlardan kat kat güzel,,Negative
1040,ürün bir  anda kapanıyor  aldığınma pişman oldum  beş para etmez,,Neutral
1041,"kanal arası geçiş çok uzun 1_2 saniye bekliyo,smart olduğundan medya ve kanal arası geçerken donma yapıyo,her kanalda info yazısı çıkıyo birde kanal geçerken kararıyo ama bir önceki kanalın sesi fondan geliyo ekran simsiyah",,Neutral
1042,bağırsakları bozuyor tavsiye etmiyorum bittiğinde daha almam bu marka,,Neutral
1043,yarım geldi ve ölçeği yok,,Neutral
1044,Ürünün yanında hiç bir hediye gelmedi bana genelde yorumlar da hediye verildiğini gördüm ama bende hiç bir şey gelmedi,,Neutral
1045,çok çabuk geldi ürün fakat herkese hediye verilirken bende olmamasina üzüldüm,,Neutral
1046,Tadı çok kötü içemedim,,Negative
1047,ürünleri iade ettim nasıl geldiyse öyle gönderdim iadelerim Red ettiniz mahkemeye verecegim,,Negative
1048,"Arkadaşlar almayın , aldırmayın yarısını boş gönderiyorlar tam bir hayal kırıklığı",,Negative
1049,tadı çok kötü bence,,Negative
1050,Tadı gerçekten kötü Daha önce almıştım bundan daha iyiydi,,Neutral
1051,son kullanım tarihi geçmiş ürün gönderdiler tadı çürük gibiydi tek bir yudum aldım yutamadım bile  iade edip şikayetimi belirttim buna rağmen iadem reddedildi bozuk ürün gönderip bi de kabul etmiyosunuz,,Negative
1052,"Takviyeler yerine elektronik cihaz aldım. Satıcı bana cevap vermiyor.. Satıcı güvenilir değil, bu mağazadan alışveriş yapmayın!",,Neutral
1053,urunun bandrolu yok. teyit etmek icin whatsapp'tan da yazdim ancak cevap yok. kullanmayacagim.,,Neutral
1054,Bence protein tozu değil. Bu bildiğimiz Nesquik. 1 aydır kullanmama rağmen tık demedi yani,,Neutral
1055,hiç bir işe yaramaz ucuz etin yahnisi bir ay kullandım aylık rutin kan veririm karaciğer değerim oldukça yüksek çıktı . Kocuma ve doktoruma söyledim kesinlikle bırak dediler asla kullanmayın ne bir etkisi var nede sağlığınızdan olmaya gerek var ..,,Neutral
1056,çikolatalı nesquik hiç bir etkisi yok kan şekerini çok hızlı yükseltiyor kesinlikle alınmaz 200 300 lira fazla koyun bunu almayın paraya yazık,,Neutral
1057,Satıcının 1 ölçek verip protein tozunu yarım yarım kullandırmasını anlamadım,,Neutral
1058,"nesquik gibi tadı var içinde gerçekten 24 gr protein olduğunu sanmıyorum, fiyatından da şüphelenmiştim zaten ona göre alın.",,Neutral
1059,Ürün sahte arkadaşlar bu kadar ucuza olması zaten şüphelendirmişti bildiğin nesquik kakao gibi bişey Protein tozuyla alakası yok kabı felan yapıştırma üstünde kabartması yok altında nurpet diye bir klişe basılı ben bidaha almam sizede tavsiyem daha güvenilir ürünler almanız,,Neutral
1060,ağzı açık ve tozlanmış geldi,,Neutral
1061,10 Aralık'ta sipariş ettim günde 1 ölçek almama rağmen 20 günde bitti tavsiyem daha düzgün ürünler tercih edin ucuz diye almayın tek pişmanlığım aldığımda tartmamak oldu ilk kez kullandığım için aklıma gelmedi,,Negative
1062,"ürünü 1 ay boyunca kullandım, ucuz bir ürün zaten ama yine de bir şans vermek istemiştim ki yanılmışım, üründe yapay katkı maddeleri var, asesulfam k, sukraloz tatlandırıcıları bununla birlikte protein tozu sadece isimde kalmış içerisinde proteinle alakalı bir şey olduğunu düşünmüyorum. kullandıktan sonra aşırı derece de şişkinlik hazımsızlık ve mi",,Neutral
1063,ÜRÜN aşırı kirlenmiş bir şekilde geldi,,Neutral
1064,paranıza yazık gelişim le hiç alakası yok alanın aklını.s,,Neutral
1065,Siparişim geldi deniyim dedim bir ölçek kullandım yarım saat sonra karın ağrım başladı kesinlikle başka bişey yiyip içmemiştim karın agrım iki gün şiddetli sürdü tavsiye etmiyorum kaliteden ödün vermeyin kaliteli ürün alın,,Positive
1066,"Ürünün üzerindeki jelatin açıktı ve yarısı boş :( zaten birçok kullanıcıya aynı şekilde gönderilmiş, bu jelatinin kendi kendine açılma ihtimali çok düşük, tavsiye etmiyorum arkadaşlar",,Negative
1067,boşuna para wermeyiñ aşdim içi çok az war,,Neutral
1068,üründe www.pharmanutrition.com adresi var böyle bi adres yok üretici Ayşe bozkurt isimli fevzi çakmak mah. gazi bulvarı no.38 d.11 i google da yazınca psikolok çıkıyor aldım ama sıfır güvenlik,,Neutral
1069,ürünü kutu içine koymaya üşendiğiniz gibi bir de altı kırık göndermişsiniz...  Bana karşı epey gareziniz var anlaşılan. hayatınızda beni görmediğiniz halde böyle nasıl davranabiliyorsunuz?,,Negative
1070,Ürünü içiyorum ama hala aç hissediyorum içinde poretin olsa  30 dk içinde  bir   tokluk hissi gelmeli.,,Neutral
1071,"Dün cahildim ürünü beğenmiştim, bugün bilgeyim ürünü çöpe atıp kaliteli markaları tercih ettim. (Sağlığınız paradan daha önemliyse böyle ne olduğu belli olmayan markalar yerine direkt sade et kemirin)",,Positive
